,row_id,player_id,school,wave,session,date,event_id,event_description,event_category,event_time,event_time_dbl,stack_id,stack_title,data_headers,data_values,skill_level_know,skill_level_priority,skill_level_people,skill_level_refusal,skill_level_me,minigame_id,minigame_level,skill_id,old_skill_point,new_skill_point,object_id,object_locked,object_first_time_unlocked,pan_scene_start_left,pan_scene_end_left,scan_start_point,scan_end_point,sense_id,object_scan_result,animatic_id,animatic_time_elapsed,animatic_time_left,avatar_age,avatar_gender,avatar_name,avatar_id,name_of_file,event_type,aa_level_id,chunk_id,piece_id,old_choice_id,old_label,choice_id,new_choice_id,new_label,stars_for_this_level_old,stars_for_this_level_new,npc_id,npc_fact_data_type,previous_rank_id,new_rank_id,invitation_id,inviting_npc_id,inviting_npc_rank_id,chosen_response,points_lost_gained,strike,total_points,total_strikes,missed_safe_invitations,accepted_unsafe_invitations,priority_type,card_id,opportunity_card_id,stop_think_id,priority_type_2,resulting_priority_type,priority_protected_true_false,gaining_priority_type,amount_gained,losing_priority_type,amount_lost,goal_1_priority_type,goal1_amount,goal1_achieved_amount,goal_2_priority_type,goal2_amount,goal2_achieved_amount,draws_remaining,starter_statement_id,validity,cred_lost_gained,fact_card_id,chosen_fact_card_id,opponent_its_on_statement_id,players_chosen_response_id,player_won,players_cred_total,item_locked_unlocked_states,proportion_complete,starting_screen_pan_position_x,starting_screen_pan_position_y,starting_screen_pan_position_w,starting_screen_pan_position_h,ending_screen_pan_position_x,ending_screen_pan_position_y,ending_screen_pan_position_w,ending_screen_pan_position_h,real_date_time,json_gamestate_dump,intention_id,answer_validity,influence_id,influence_id1,clip1_validity,influence_id2,clip2_validity,influence_id3,clip3_validity,opponent_attack_id,chosen_opponent_attack_type_id,player_point_loss,strategy_id,strategy_strength,piece_id_2,piece1_id,piece2_id,piece3_id,opponent_point_loss,player_points,opponent_points,old_rating,new_rating,priority_type_that_went_to_zero,epilogue_item_id,item_locked_unlocked_state
1885973,1885974,6607007,7167,Spring 2014~ Wave 1,Session1,2014-02-26,600,Player selects age,Avatar Creation,26S,26,,,age selected,1,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,Session1_eventLog_6607007_session1.log,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885974,1885975,6607007,7167,Spring 2014~ Wave 1,Session1,2014-02-26,601,Player selects gender,Avatar Creation,27S,27,,,gender selected,1,,,,,,,,,,,,,,,,,,,,,,,,Female,,,Session1_eventLog_6607007_session1.log,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885975,1885976,6607007,7167,Spring 2014~ Wave 1,Session1,2014-02-26,602,Player commits to age and gender,Avatar Creation,28S,28,,,"age selected, gender selected","1,1",,,,,,,,,,,,,,,,,,,,,,,12.0,Female,,,Session1_eventLog_6607007_session1.log,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885976,1885977,6607007,7167,Spring 2014~ Wave 1,Session1,2014-02-26,603,Player selects avatar,Avatar Creation,42S,42,,,Avatar id,2,,,,,,,,,,,,,,,,,,,,,,,,,,Hispanic,Session1_eventLog_6607007_session1.log,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885977,1885978,6607007,7167,Spring 2014~ Wave 1,Session1,2014-02-26,603,Player selects avatar,Avatar Creation,43S,43,,,Avatar id,1,,,,,,,,,,,,,,,,,,,,,,,,,,Caucasian,Session1_eventLog_6607007_session1.log,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885978,1885979,6607007,7167,Spring 2014~ Wave 1,Session1,2014-02-26,603,Player selects avatar,Avatar Creation,44S,44,,,Avatar id,0,,,,,,,,,,,,,,,,,,,,,,,,,,African American,Session1_eventLog_6607007_session1.log,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885979,1885980,6607007,7167,Spring 2014~ Wave 1,Session1,2014-02-26,603,Player selects avatar,Avatar Creation,44S,44,,,Avatar id,2,,,,,,,,,,,,,,,,,,,,,,,,,,Hispanic,Session1_eventLog_6607007_session1.log,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885980,1885981,6607007,7167,Spring 2014~ Wave 1,Session1,2014-02-26,603,Player selects avatar,Avatar Creation,45S,45,,,Avatar id,1,,,,,,,,,,,,,,,,,,,,,,,,,,Caucasian,Session1_eventLog_6607007_session1.log,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885981,1885982,6607007,7167,Spring 2014~ Wave 1,Session1,2014-02-26,603,Player selects avatar,Avatar Creation,45S,45,,,Avatar id,0,,,,,,,,,,,,,,,,,,,,,,,,,,African American,Session1_eventLog_6607007_session1.log,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885982,1885983,6607007,7167,Spring 2014~ Wave 1,Session1,2014-02-26,603,Player selects avatar,Avatar Creation,46S,46,,,Avatar id,2,,,,,,,,,,,,,,,,,,,,,,,,,,Hispanic,Session1_eventLog_6607007_session1.log,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
