,row_id,player_id,school,wave,session,date,event_id,event_description,event_category,event_time,event_time_dbl,stack_id,stack_title,data_headers,data_values,skill_level_know,skill_level_priority,skill_level_people,skill_level_refusal,skill_level_me,minigame_id,minigame_level,skill_id,old_skill_point,new_skill_point,object_id,object_locked,object_first_time_unlocked,pan_scene_start_left,pan_scene_end_left,scan_start_point,scan_end_point,sense_id,object_scan_result,animatic_id,animatic_time_elapsed,animatic_time_left,avatar_age,avatar_gender,avatar_name,avatar_id,name_of_file,event_type,aa_level_id,chunk_id,piece_id,old_choice_id,old_label,choice_id,new_choice_id,new_label,stars_for_this_level_old,stars_for_this_level_new,npc_id,npc_fact_data_type,previous_rank_id,new_rank_id,invitation_id,inviting_npc_id,inviting_npc_rank_id,chosen_response,points_lost_gained,strike,total_points,total_strikes,missed_safe_invitations,accepted_unsafe_invitations,priority_type,card_id,opportunity_card_id,stop_think_id,priority_type_2,resulting_priority_type,priority_protected_true_false,gaining_priority_type,amount_gained,losing_priority_type,amount_lost,goal_1_priority_type,goal1_amount,goal1_achieved_amount,goal_2_priority_type,goal2_amount,goal2_achieved_amount,draws_remaining,starter_statement_id,validity,cred_lost_gained,fact_card_id,chosen_fact_card_id,opponent_its_on_statement_id,players_chosen_response_id,player_won,players_cred_total,item_locked_unlocked_states,proportion_complete,starting_screen_pan_position_x,starting_screen_pan_position_y,starting_screen_pan_position_w,starting_screen_pan_position_h,ending_screen_pan_position_x,ending_screen_pan_position_y,ending_screen_pan_position_w,ending_screen_pan_position_h,real_date_time,json_gamestate_dump,intention_id,answer_validity,influence_id,influence_id1,clip1_validity,influence_id2,clip2_validity,influence_id3,clip3_validity,opponent_attack_id,chosen_opponent_attack_type_id,player_point_loss,strategy_id,strategy_strength,piece_id_2,piece1_id,piece2_id,piece3_id,opponent_point_loss,player_points,opponent_points,old_rating,new_rating,priority_type_that_went_to_zero,epilogue_item_id,item_locked_unlocked_state
1614819,1614820,6566009,4829,Spring 2014 Wave 2,Session 1,2014-04-03,600,Player selects age,Avatar Creation,15S,15,,,age selected,2,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,Session_1_eventLog_6566009.log,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1614820,1614821,6566009,4829,Spring 2014 Wave 2,Session 1,2014-04-03,601,Player selects gender,Avatar Creation,17S,17,,,gender selected,0,,,,,,,,,,,,,,,,,,,,,,,,Male,,,Session_1_eventLog_6566009.log,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1614821,1614822,6566009,4829,Spring 2014 Wave 2,Session 1,2014-04-03,602,Player commits to age and gender,Avatar Creation,18S,18,,,"age selected, gender selected","2,0",,,,,,,,,,,,,,,,,,,,,,,13.0,Male,,,Session_1_eventLog_6566009.log,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1614822,1614823,6566009,4829,Spring 2014 Wave 2,Session 1,2014-04-03,603,Player selects avatar,Avatar Creation,28S,28,,,Avatar id,1,,,,,,,,,,,,,,,,,,,,,,,,,,Caucasian,Session_1_eventLog_6566009.log,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1614823,1614824,6566009,4829,Spring 2014 Wave 2,Session 1,2014-04-03,604,Player commits to avatar and name,Avatar Creation,52S,52,,,"Avatar id, chosen name","1,Ricky",,,,,,,,,,,,,,,,,,,,,,,,,Ricky,Caucasian,Session_1_eventLog_6566009.log,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1614824,1614825,6566009,4829,Spring 2014 Wave 2,Session 1,2014-04-03,605,Player exits avatar creator,Avatar Creation,1M 3S,63,,,no_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,Session_1_eventLog_6566009.log,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1614825,1614826,6566009,4829,Spring 2014 Wave 2,Session 1,2014-04-03,210,Player begins to scan Scene using Sense,Challenge Stack,2M 13S,133,,,"startscan_x,startscan_y","594,249",,,,,,,,,,,,,,,,"(594, 249)",,,,,,,,,,,Session_1_eventLog_6566009.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1614826,1614827,6566009,4829,Spring 2014 Wave 2,Session 1,2014-04-03,207,Player panned Scene,Challenge Stack,2M 25S,145,12.0,Welcome to PlayForward,"Stack id, starting scene left, ending scene left","12,0,-405",,,,,,,,,,,,,,0.0,-405.0,,,,,,,,,,,,Session_1_eventLog_6566009.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1614827,1614828,6566009,4829,Spring 2014 Wave 2,Session 1,2014-04-03,211,Player ends scan,Challenge Stack,2M 37S,157,,,"endscan_x,endscan_y","1309,254",,,,,,,,,,,,,,,,,"(1309, 254)",,,,,,,,,,Session_1_eventLog_6566009.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1614828,1614829,6566009,4829,Spring 2014 Wave 2,Session 1,2014-04-03,207,Player panned Scene,Challenge Stack,2M 45S,165,12.0,Welcome to PlayForward,"Stack id, starting scene left, ending scene left","12,-405,-450",,,,,,,,,,,,,,-405.0,-450.0,,,,,,,,,,,,Session_1_eventLog_6566009.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
