,row_id,player_id,school,wave,session,date,event_id,event_description,event_category,event_time,event_time_dbl,stack_id,stack_title,data_headers,data_values,skill_level_know,skill_level_priority,skill_level_people,skill_level_refusal,skill_level_me,minigame_id,minigame_level,skill_id,old_skill_point,new_skill_point,object_id,object_locked,object_first_time_unlocked,pan_scene_start_left,pan_scene_end_left,scan_start_point,scan_end_point,sense_id,object_scan_result,animatic_id,animatic_time_elapsed,animatic_time_left,avatar_age,avatar_gender,avatar_name,avatar_id,name_of_file,event_type,aa_level_id,chunk_id,piece_id,old_choice_id,old_label,choice_id,new_choice_id,new_label,stars_for_this_level_old,stars_for_this_level_new,npc_id,npc_fact_data_type,previous_rank_id,new_rank_id,invitation_id,inviting_npc_id,inviting_npc_rank_id,chosen_response,points_lost_gained,strike,total_points,total_strikes,missed_safe_invitations,accepted_unsafe_invitations,priority_type,card_id,opportunity_card_id,stop_think_id,priority_type_2,resulting_priority_type,priority_protected_true_false,gaining_priority_type,amount_gained,losing_priority_type,amount_lost,goal_1_priority_type,goal1_amount,goal1_achieved_amount,goal_2_priority_type,goal2_amount,goal2_achieved_amount,draws_remaining,starter_statement_id,validity,cred_lost_gained,fact_card_id,chosen_fact_card_id,opponent_its_on_statement_id,players_chosen_response_id,player_won,players_cred_total,item_locked_unlocked_states,proportion_complete,starting_screen_pan_position_x,starting_screen_pan_position_y,starting_screen_pan_position_w,starting_screen_pan_position_h,ending_screen_pan_position_x,ending_screen_pan_position_y,ending_screen_pan_position_w,ending_screen_pan_position_h,real_date_time,json_gamestate_dump,intention_id,answer_validity,influence_id,influence_id1,clip1_validity,influence_id2,clip2_validity,influence_id3,clip3_validity,opponent_attack_id,chosen_opponent_attack_type_id,player_point_loss,strategy_id,strategy_strength,piece_id_2,piece1_id,piece2_id,piece3_id,opponent_point_loss,player_points,opponent_points,old_rating,new_rating,priority_type_that_went_to_zero,epilogue_item_id,item_locked_unlocked_state
2093568,2093569,65670031,1531,Single wave,Session 6,2013-11-04,600,Player selects age,Avatar Creation,14S,14,,,age selected,1,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,Session_6_eventLog_656700500.log,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2093569,2093570,65670031,1531,Single wave,Session 6,2013-11-04,601,Player selects gender,Avatar Creation,14S,14,,,gender selected,1,,,,,,,,,,,,,,,,,,,,,,,,Female,,,Session_6_eventLog_656700500.log,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2093570,2093571,65670031,1531,Single wave,Session 6,2013-11-04,602,Player commits to age and gender,Avatar Creation,16S,16,,,"age selected, gender selected","1,1",,,,,,,,,,,,,,,,,,,,,,,12.0,Female,,,Session_6_eventLog_656700500.log,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2093571,2093572,65670031,1531,Single wave,Session 6,2013-11-04,603,Player selects avatar,Avatar Creation,19S,19,,,Avatar id,0,,,,,,,,,,,,,,,,,,,,,,,,,,African American,Session_6_eventLog_656700500.log,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2093572,2093573,65670031,1531,Single wave,Session 6,2013-11-04,604,Player commits to avatar and name,Avatar Creation,45S,45,,,"Avatar id, chosen name","0,Laquisha",,,,,,,,,,,,,,,,,,,,,,,,,Laquisha,African American,Session_6_eventLog_656700500.log,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2093573,2093574,65670031,1531,Single wave,Session 6,2013-11-04,605,Player exits avatar creator,Avatar Creation,49S,49,,,no_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,Session_6_eventLog_656700500.log,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2093574,2093575,65670031,1531,Single wave,Session 6,2013-11-04,210,Player begins to scan Scene using Sense,Challenge Stack,54S,54,,,"startscan_x,startscan_y","692,476",,,,,,,,,,,,,,,,"(692, 476)",,,,,,,,,,,Session_6_eventLog_656700500.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2093575,2093576,65670031,1531,Single wave,Session 6,2013-11-04,210,Player begins to scan Scene using Sense,Challenge Stack,54S,54,,,"startscan_x,startscan_y","605,543",,,,,,,,,,,,,,,,"(605, 543)",,,,,,,,,,,Session_6_eventLog_656700500.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2093576,2093577,65670031,1531,Single wave,Session 6,2013-11-04,211,Player ends scan,Challenge Stack,54S,54,,,"endscan_x,endscan_y","371,554",,,,,,,,,,,,,,,,,"(371, 554)",,,,,,,,,,Session_6_eventLog_656700500.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2093577,2093578,65670031,1531,Single wave,Session 6,2013-11-04,211,Player ends scan,Challenge Stack,55S,55,,,"endscan_x,endscan_y","863,554",,,,,,,,,,,,,,,,,"(863, 554)",,,,,,,,,,Session_6_eventLog_656700500.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
